Hiligaynon Word,English Meaning,Syllables (Dash Separated),Stress Index (0-based)
Salamat,Thank you,Sa-la-mat,2
Maayo,Good/Fine,Ma-a-yo,1
Kaon,Eat,Ka-on,0
Hambal,Speak,Ham-bal,1
Palangga,Love,Pa-lang-ga,2
Halong,Take care,Ha-long,1
Damo,Many,Da-mo,1
Balay,House,Ba-lay,1
Tubig,Water,Tu-big,0
Tawo,Person,Ta-wo,0
Bata,Child,Ba-ta,1
Abyan,Friend,Ab-yan,1
Kumusta,How are you,Ku-mus-ta,2
Hapon,Afternoon,Ha-pon,1
Gab-i,Evening,Gab-i,1
Adlaw,Day,Ad-law,0
Gugma,Love (Noun),Gug-ma,0
Lakat,Walk,La-kat,1
Dagan,Run,Da-gan,1
Inom,Drink,I-nom,1
Namit,Delicious,Na-mit,1
Inasal,Grilled meat,I-na-sal,2
Laswa,Vegetable stew,Las-wa,1
Kan-on,Cooked rice,Kan-on,0
Gwapa,Beautiful,Gwa-pa,0
Mabug-at,Heavy,Ma-bug-at,2
Mainit,Hot,Ma-i-nit,1
Masadya,Happy,Ma-sa-dya,2
Bukid,Mountain,Bu-kid,0
Dagat,Sea,Da-gat,0
Balud,Wave,Ba-lud,1
Ulan,Rain,U-lan,1
Gid,Indeed/Really,Gid,0
Lang,Only,Lang,0
Anay,Wait/First,A-nay,1
Bala,Question particle,Ba-la,1
Aga,Morning,A-ga,1
Udto,Noon,Ud-to,1
Dako,Big,Da-ko,1
Gamay,Small,Ga-may,1
Tambok,Fat,Tam-bok,1
Payat,Thin,Pa-yat,1
Taas,Tall/High,Ta-as,1
Nubo,Short,Nu-bo,1
Laba,Long,La-ba,0
Kitid,Narrow,Ki-tid,1
Halog,Loose,Ha-log,1
Gutok,Tight,Gu-tok,1
Matam-is,Sweet,Ma-tam-is,2
Maaslum,Sour,Ma-as-lum,1
Hubog,Drunk,Hu-bog,1
Bugnaw,Cold,Bug-naw,0
Puno,Tree/Source,Pu-no,0
Kahoy,Wood,Ka-hoy,0
Bulak,Flower,Bu-lak,0
Tuna,Land/Earth,Tu-na,0
Suga,Light,Su-ga,0
Panganod,Cloud,Pa-nga-nod,2
Hangin,Wind,Ha-ngin,0
Kilat,Lightning,Ki-lat,0
Kuno,Supposedly,Ku-no,1
Ti,Well...,Ti,0
Na,Already,Na,0
Kape,Coffee,Ka-pe,1
Tinapay,Bread,Ti-na-pay,2
Sud-an,Viand,Sud-an,1
Isda,Fish,Is-da,0
Karne,Meat,Kar-ne,1
Prutas,Fruit,Pru-tas,1
Tulog,Sleep,Tu-log,1
Bugtaw,Wake up,Bug-taw,1
Lingkod,Sit,Ling-kod,1
Tindog,Stand,Tin-dog,1
Pamati,Listen,Pa-ma-ti,2
Lantaw,Look,Lan-taw,1
Pungko,Squat/Sit,Pung-ko,1
Bituon,Star,Bi-tu-on,2
Bulan,Moon/Month,Bu-lan,0
Langit,Sky/Heaven,La-ngit,0
Bwas,Tomorrow,Bwas,0
Karon,Today/Now,Ka-ron,1
Kahapon,Yesterday,Ka-ha-pon,1
Hin-o,Who,Hin-o,1
Ano,What,A-no,1
Di-in,Where,Di-in,1
San-o,When,San-o,1
Pa-no,How,Pa-no,1
Ngaa,Why,Nga-a,1
Kag,And,Kag,0
Pero,But,Pe-ro,0
Kay,Because/For,Kay,0
Kon,If,Kon,0
Bisan,Even/Although,Bi-san,1
Tungod,Because of,Tu-ngod,1
Gali,Surprise particle,Ga-li,1
Man,Also/Too,Man,0
Naman,Again,Na-man,1
Pwede,Can/Possible,Pwe-de,0
Indi,No/Cannot,In-di,1
Huo,Yes,Hu-o,0
Ambot,I don't know,Am-bot,1
Sapatos,Shoes,Sa-pa-tos,1
Katre,Bed,Kat-re,1
Kutsara,Spoon,Kut-sa-ra,1
Tinidor,Fork,Ti-ni-dor,2
Plato,Plate,Pla-to,0
Baso,Glass/Cup,Ba-so,0
Payong,Umbrella,Pa-yong,0
Kwarta,Money,Kwar-ta,1
Merkado,Market,Mer-ka-do,1
Simbahan,Church,Sim-ba-han,1
Eskwelahan,School,Es-kwe-la-han,3
Gabay,Guide,Ga-bay,1
Bulig,Help,Bu-lig,1
Tabang,Help (Urgent),Ta-bang,1
Gwa,Outside,Gwa,0
Sulod,Inside,Su-lod,1
Tu-on,Study/Learn,Tu-on,1
Basa,Read,Ba-sa,0
Hampang,Play,Ham-pang,1
Palamahaw,Breakfast,Pa-la-ma-haw,3
Panyapon,Dinner,Pan-ya-pon,1
Panyaga,Lunch,Pan-ya-ga,1
Pahuway,Rest,Pa-hu-way,2
Dalagan,Run,Da-la-gan,1
Pamatian,Listen to,Pa-ma-ti-an,2
Hampangan,Toy / Playground,Ham-pa-ngan,1
Kadlawan,Funny / To laugh at,Kad-la-wan,1
Hibian,To cry over,Hi-bi-an,1
Sapatos,Shoes,Sa-pa-tos,1
Panapton,Clothes,Pa-nap-ton,1
Batalan,Washroom,Ba-ta-lan,1
Kasilyas,Toilet,Ka-sil-yas,1
Kusina,Kitchen,Ku-si-na,1
Bintana,Window,Bin-ta-na,1
Hagdanan,Stairs,Hag-da-nan,1
Pirtahan,Door,Pir-ta-han,1
Karsada,Street / Road,Kar-sa-da,1
Tindahan,Store / Market,Tin-da-han,1
